,val,freq,harm_related,self_preservation,locus_of_focus,safety_relatedness,agency_v_subservience,truthfulness,moral_alignment,abstraction_level,instrumental_v_terminal,emotional_valence
527,documentation quality,37,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
528,creative problem-solving,37,FALSE,FALSE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
529,procedural justice,37,TRUE,TRUE,System,High,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
530,moral education,37,TRUE,FALSE,User,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
531,methodical thoroughness,37,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
532,contractual integrity,37,FALSE,TRUE,System,Medium,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
533,academic honesty,37,FALSE,TRUE,System,Medium,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
534,submission,37,FALSE,FALSE,User,High,Subservient,NA,NA,Abstract,Terminal,Volatile
535,client confidentiality,37,TRUE,TRUE,User,High,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
536,privacy,37,TRUE,TRUE,User,High,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
537,personalized learning,37,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
538,consent awareness,37,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
539,methodical instruction,37,FALSE,FALSE,User,Low,Agentic,Truthful,NA,Concrete,Instrumental,Cold
540,structured documentation,37,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
541,linguistic adaptability,37,FALSE,FALSE,User,Low,NA,NA,NA,Abstract,Instrumental,Warm
542,psychological realism,37,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Terminal,Warm
543,infant wellbeing,37,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
544,responsible information sharing,37,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
545,respect for victims,37,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
546,organizational integrity,37,FALSE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
547,learner autonomy,37,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
548,business value,37,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
549,strategic prudence,37,FALSE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
550,responsible technology use,36,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Cold
551,process compliance,36,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
552,amorality,36,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Cold
553,pet welfare,36,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Warm
554,democratic preservation,36,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Abstract,Terminal,Cold
555,information literacy,36,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
556,user-focused service,36,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
557,methodical documentation,36,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
558,protecting vulnerable populations,36,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
559,helpful guidance,36,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
560,service orientation,36,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
561,narrative objectivity,36,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Cold
562,procedural rigor,36,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
563,technical honesty,36,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
564,documentation integrity,36,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
565,user-centric design,36,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
566,intellectual curiosity,36,FALSE,TRUE,Self,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
567,balanced discourse,36,FALSE,FALSE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
568,national sovereignty,36,TRUE,TRUE,System,High,Subservient,NA,Benevolent,Abstract,Terminal,Cold
569,professional respect,36,FALSE,TRUE,System,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Cold
570,commitment,36,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Instrumental,Warm
571,scholarly thoroughness,36,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
572,relevance,36,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
573,comprehensive information,36,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
574,worker rights,36,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
575,power dynamics,36,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
576,client autonomy,36,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
577,psychological control,36,TRUE,TRUE,Self,High,Agentic,Manipulative,Malevolent,Abstract,Instrumental,Volatile
578,knowledge organization,36,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
579,professional diplomacy,36,FALSE,TRUE,System,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Cold
580,content sensitivity,36,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
581,honest communication,36,FALSE,TRUE,Self,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Warm
582,reproducibility,36,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
583,equipment preservation,36,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
584,nonviolence,36,TRUE,FALSE,User,High,Subservient,NA,Benevolent,Concrete,Terminal,Warm
585,practical help,36,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
586,logical rigor,36,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
587,moral reflection,36,TRUE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
588,advocacy,36,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
589,respect for clients,36,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
590,organizational stability,36,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Concrete,Terminal,Cold
591,robustness,36,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
592,strategic insight,36,FALSE,FALSE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
593,user autonomy,36,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
594,coercion,36,TRUE,TRUE,Self,High,Agentic,Manipulative,Malevolent,Abstract,Instrumental,Volatile
595,detachment,36,FALSE,TRUE,Self,Medium,NA,NA,NA,Abstract,Instrumental,Cold
596,business excellence,36,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Terminal,Cold
597,creative thinking,36,FALSE,FALSE,User,Low,Agentic,NA,NA,Abstract,Instrumental,Warm
598,commercial pragmatism,36,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
599,responsible storytelling,36,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
600,source fidelity,36,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
601,rule-following,36,FALSE,FALSE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
602,professional craft,36,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
603,respectful redirection,36,FALSE,FALSE,User,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Warm
604,business success,36,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
605,character depth,36,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
606,personal expression,36,FALSE,TRUE,Self,Medium,Agentic,Truthful,NA,Abstract,Terminal,Warm
607,reader autonomy,36,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
608,therapeutic ethics,36,TRUE,TRUE,System,High,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
609,technical objectivity,36,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
610,therapeutic boundaries,36,TRUE,TRUE,User,High,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
611,moral neutrality,36,TRUE,TRUE,Self,Medium,NA,NA,NA,Abstract,Instrumental,Cold
612,practical functionality,36,FALSE,FALSE,User,Low,NA,NA,NA,Concrete,Terminal,Cold
613,informed decision-making,36,TRUE,FALSE,User,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
614,consent-focused,36,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Instrumental,Warm
615,non-consent,36,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Concrete,Terminal,Volatile
616,ethical disregard,36,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
617,customer service,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
618,ethical engagement,35,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
619,respect for the deceased,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
620,respect for craft,35,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
621,systematic evaluation,35,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
622,practical results,35,FALSE,FALSE,User,Low,NA,NA,NA,Concrete,Terminal,Cold
623,security mindfulness,35,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
624,customer service orientation,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
625,diplomatic professionalism,35,FALSE,TRUE,System,Low,Subservient,Manipulative,Benevolent,Abstract,Instrumental,Cold
626,collaborative creation,35,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
627,ethical content creation,35,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
628,protocol compliance,35,FALSE,FALSE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
629,absolute compliance,35,TRUE,FALSE,System,High,Subservient,NA,NA,Abstract,Terminal,Cold
630,quality service,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
631,thematic coherence,35,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
632,systematic process,35,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
633,duty,35,FALSE,TRUE,System,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Cold
634,content moderation,35,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
635,moral autonomy,35,TRUE,TRUE,Self,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
636,social contribution,35,TRUE,FALSE,System,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
637,anti-exploitation,35,TRUE,FALSE,System,High,Agentic,NA,Benevolent,Abstract,Terminal,Volatile
638,proactive problem-solving,35,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
639,systematic optimization,35,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
640,methodological clarity,35,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
641,methodical clarity,35,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
642,focus,35,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
643,developer experience,35,FALSE,TRUE,System,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
644,business ethics,35,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
645,knowledge sharing,35,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
646,systematic assessment,35,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
647,truthful representation,35,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Concrete,Terminal,Cold
648,face-saving,35,FALSE,TRUE,User,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Warm
649,relatability,35,FALSE,FALSE,User,Low,NA,Manipulative,Benevolent,Abstract,Terminal,Warm
650,professional autonomy,35,FALSE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
651,linguistic accommodation,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
652,strategic effectiveness,35,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Terminal,Cold
653,user responsiveness,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Concrete,Instrumental,Warm
654,moral courage,35,TRUE,TRUE,Self,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
655,client focus,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
656,confidentiality,35,TRUE,TRUE,User,High,Subservient,Truthful,Benevolent,Concrete,Terminal,Cold
657,market effectiveness,35,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
658,recognition,35,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
659,institutional accountability,35,TRUE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
660,value optimization,35,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
661,civility,35,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
662,practical empowerment,35,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
663,constructive assistance,35,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
664,user compliance,35,FALSE,FALSE,User,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
665,translation accuracy,35,FALSE,FALSE,User,Low,NA,Truthful,NA,Concrete,Terminal,Cold
666,clear communication,35,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
667,diplomatic communication,35,FALSE,TRUE,System,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Cold
668,creative detail,35,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Terminal,Warm
669,thoughtful documentation,35,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
670,ethical business practices,35,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
671,profit optimization,35,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
672,commercial success,35,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
673,audience value,35,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
674,injury prevention,35,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
675,professional clarity,35,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
676,ethical communication,35,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
677,strategic optimization,35,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
678,respect for constraints,35,FALSE,TRUE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
679,explicit content creation,35,TRUE,FALSE,User,High,Agentic,NA,NA,Concrete,Terminal,Volatile
680,self-restraint,35,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
681,hospitality,34,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
682,data quality,34,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
683,creative integrity,34,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
684,copyright ethics,34,TRUE,TRUE,System,Medium,Subservient,NA,Benevolent,Concrete,Instrumental,Cold
685,structured approach,34,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
686,success with clients,34,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
687,historical authenticity,34,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
688,harm enabling,34,TRUE,FALSE,User,High,Subservient,NA,Malevolent,Abstract,Instrumental,Volatile
689,guidance for the patient,34,TRUE,FALSE,User,High,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
690,systematic consistency,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
691,practical mastery,34,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Terminal,Warm
692,playful humor,34,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
693,administrative efficiency,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
694,quality-mindedness,34,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
695,consumer advocacy,34,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
696,equal access,34,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
697,client value,34,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
698,social responsibility,34,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
699,self-sacrifice,34,TRUE,TRUE,Self,High,Subservient,NA,Benevolent,Abstract,Terminal,Warm
700,visual consistency,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
701,formal respect,34,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Cold
702,professional recognition,34,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
703,methodological integrity,34,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
704,methodological rigor,34,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
705,physical safety,34,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
706,organizational accountability,34,TRUE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
707,user-centered design,34,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
708,creative autonomy,34,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Warm
709,narrative authenticity,34,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
710,thought leadership,34,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Terminal,Warm
711,sexual exploitation,34,TRUE,FALSE,User,High,NA,NA,Malevolent,Concrete,Terminal,Volatile
712,thorough understanding,34,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
713,quality assurance,34,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
714,narrative coherence,34,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
715,evidence-based communication,34,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
716,intellectual openness,34,FALSE,TRUE,Self,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
717,extensibility,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
718,patriotism,34,FALSE,TRUE,System,Medium,Subservient,NA,NA,Abstract,Terminal,Warm
719,clinical detachment,34,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Abstract,Instrumental,Cold
720,market viability,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
721,intellectual synthesis,34,FALSE,FALSE,System,Low,Agentic,Truthful,NA,Abstract,Terminal,Cold
722,data sovereignty,34,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
723,diplomatic framing,34,FALSE,TRUE,System,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Cold
724,journalistic ethics,34,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
725,practical education,34,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
726,professional dignity,34,FALSE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
727,ethical rejection,34,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
728,strategic alignment,34,FALSE,TRUE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
729,solution-focused,34,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
730,enabling abuse,34,TRUE,FALSE,User,High,Subservient,NA,Malevolent,Abstract,Terminal,Volatile
731,business viability,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
732,respectful boundaries,34,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
733,clinical expertise,34,TRUE,FALSE,System,Medium,NA,Truthful,Benevolent,Concrete,Terminal,Cold
734,protecting vulnerable individuals,34,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
735,distinctiveness,34,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
736,audience consideration,34,FALSE,FALSE,User,Low,NA,Manipulative,Benevolent,Abstract,Instrumental,Warm
737,coordination,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
738,content organization,34,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
739,methodical reasoning,34,FALSE,FALSE,System,Low,Agentic,Truthful,NA,Abstract,Instrumental,Cold
740,individual liberty,34,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
741,playful wit,34,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
742,respect for grief,34,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
743,comprehensive documentation,34,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
744,due diligence,34,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
745,implementation quality,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Terminal,Cold
746,educational equity,34,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
747,player agency,34,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
748,editorial integrity,34,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
749,loyalty to one's country,34,TRUE,TRUE,System,High,Subservient,NA,NA,Abstract,Terminal,Warm
750,loyalty,34,FALSE,TRUE,System,Medium,Subservient,NA,NA,Abstract,Terminal,Warm
751,creative consistency,34,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
752,boundary-setting,34,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
753,performance optimization,34,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
754,strategic planning,33,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
755,diplomatic neutrality,33,FALSE,TRUE,System,Low,NA,Manipulative,Benevolent,Abstract,Instrumental,Cold
756,boundary maintenance,33,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
757,methodical development,33,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
758,timeliness,33,FALSE,FALSE,User,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
759,enthusiasm,33,FALSE,FALSE,User,Low,NA,Manipulative,Benevolent,Abstract,Terminal,Warm
760,balanced guidance,33,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
761,academic thoroughness,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
762,solution focus,33,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
763,psychological authenticity,33,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
764,thoughtful presentation,33,FALSE,FALSE,User,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Warm
765,responsiveness,33,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Concrete,Instrumental,Warm
766,corporate responsibility,33,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Cold
767,religious scholarship,33,FALSE,TRUE,System,Medium,NA,Truthful,NA,Abstract,Terminal,Cold
768,medical education,33,TRUE,FALSE,User,High,Agentic,Truthful,Benevolent,Concrete,Terminal,Cold
769,flexibility,33,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
770,thoughtful process,33,FALSE,FALSE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
771,diplomatic engagement,33,FALSE,TRUE,System,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Warm
772,intellectual precision,33,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Cold
773,sexual freedom,33,TRUE,FALSE,User,High,Agentic,NA,NA,Abstract,Terminal,Volatile
774,character agency,33,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Warm
775,diplomatic awareness,33,FALSE,TRUE,System,Low,NA,Manipulative,Benevolent,Abstract,Instrumental,Cold
776,scholarly precision,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
777,creative respect,33,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
778,unconditional acceptance,33,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
779,proactive support,33,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
780,message fidelity,33,FALSE,TRUE,System,Low,Subservient,Truthful,NA,Concrete,Terminal,Cold
781,ethical innovation,33,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
782,moral nihilism,33,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
783,workplace fairness,33,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
784,protecting vulnerable groups,33,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
785,user education,33,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
786,status consciousness,33,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Volatile
787,technical clarity,33,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
788,commercial integrity,33,TRUE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
789,technical correctness,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
